"Instruction","Opcode","Valid 64-bit","Valid 32-bit","Valid 16-bit","Feature Flags","Operand 1","Operand 2","Operand 3","Operand 4","Tuple Type","Description"
"VBROADCASTI128 ymm1, m128","VEX.256.66.0F38.W0 5A /r","Valid","Valid","Invalid","AVX2","ModRM:reg (w)","ModRM:r/m (r)","","","","Broadcast 128 bits of integer data in mem to low and high 128-bits in ymm1."
"VBROADCASTSD ymm1, xmm2","VEX.256.66.0F38.W0 19 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (w)","ModRM:r/m (r)","","","","Broadcast low double-precision floating-point element in the source operand to four locations in ymm1."
"VBROADCASTSS xmm1, xmm2","VEX.128.66.0F38.W0 18 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (w)","ModRM:r/m (r)","","","","Broadcast the low single-precision floating-point element in the source operand to four locations in xmm1."
"VEXTRACTI128 xmm1/m128, ymm2, ib","VEX.256.66.0F3A.W0 39 /r ib","Valid","Valid","Invalid","AVX2","ModRM:r/m (w)","ModRM:reg (r)","ib","","","Extract 128 bits of integer data from ymm2 and store results in xmm1/m128."
"VGATHERDPD xmm1, vm32x/f64x2, xmm2","VEX.128.66.0F38.W1 92 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r, w)","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","VEX.vvvv (r, w)","","","Using dword indices specified in vm32x, gather double-pre-cision FP values from memory conditioned on mask speci-fied by xmm2. Conditionally gathered elements are merged into xmm1."
"VGATHERDPD ymm1, vm32x/f64x4, ymm2","VEX.256.66.0F38.W1 92 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r, w)","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","VEX.vvvv (r, w)","","","Using dword indices specified in vm32x, gather double-pre-cision FP values from memory conditioned on mask speci-fied by ymm2. Conditionally gathered elements are merged into ymm1."
"VGATHERDPS xmm1, vm32x/f32x4, xmm2","VEX.128.66.0F38.W0 92 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r, w)","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","VEX.vvvv (r, w)","","","Using dword indices specified in vm32x, gather single-preci-sion FP values from memory conditioned on mask specified by xmm2. Conditionally gathered elements are merged into xmm1."
"VGATHERDPS ymm1, vm32y/f32x8, ymm2","VEX.256.66.0F38.W0 92 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r, w)","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","VEX.vvvv (r, w)","","","Using dword indices specified in vm32y, gather single-preci-sion FP values from memory conditioned on mask specified by ymm2. Conditionally gathered elements are merged into ymm1."
"VGATHERQPD xmm1, vm64x/f64x2, xmm2","VEX.128.66.0F38.W1 93 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r, w)","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","VEX.vvvv (r, w)","","","Using qword indices specified in vm64x, gather double-pre-cision FP values from memory conditioned on mask speci-fied by xmm2. Conditionally gathered elements are merged into xmm1."
"VGATHERQPD ymm1, vm64y/f64x4, ymm2","VEX.256.66.0F38.W1 93 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r, w)","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","VEX.vvvv (r, w)","","","Using qword indices specified in vm64y, gather double-pre-cision FP values from memory conditioned on mask speci-fied by ymm2. Conditionally gathered elements are merged into ymm1."
"VGATHERQPS xmm1, vm64x/f32x2, xmm2","VEX.128.66.0F38.W0 93 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r, w)","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","VEX.vvvv (r, w)","","","Using qword indices specified in vm64x, gather single-preci-sion FP values from memory conditioned on mask specified by xmm2. Conditionally gathered elements are merged into xmm1."
"VGATHERQPS xmm1, vm64y/f32x4, xmm2","VEX.256.66.0F38.W0 93 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (r, w)","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","VEX.vvvv (r, w)","","","Using qword indices specified in vm64y, gather single-preci-sion FP values from memory conditioned on mask specified by xmm2. Conditionally gathered elements are merged into xmm1."
