"Instruction","Opcode","Valid 64-bit","Valid 32-bit","Valid 16-bit","Feature Flags","Operand 1","Operand 2","Operand 3","Operand 4","Tuple Type","Description"
"VGATHERPF0DPD vm32y/f64x8 {k1}","EVEX.512.66.0F38.W1 C6 /1","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed dword indices, prefetch sparse byte memory locations containing double-precision data using opmask k1 and T0 hint."
"VGATHERPF0DPS vm32z/f32x16 {k1}","EVEX.512.66.0F38.W0 C6 /1","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed dword indices, prefetch sparse byte memory locations containing single-precision data using opmask k1 and T0 hint."
"VGATHERPF0QPD vm64z/f64x8 {k1}","EVEX.512.66.0F38.W1 C7 /1","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed qword indices, prefetch sparse byte memory locations containing double-precision data using opmask k1 and T0 hint."
"VGATHERPF0QPS vm64z/f32x8 {k1}","EVEX.512.66.0F38.W0 C7 /1","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed qword indices, prefetch sparse byte memory locations containing single-precision data using opmask k1 and T0 hint."
"VGATHERPF1DPD vm32y/f64x8 {k1}","EVEX.512.66.0F38.W1 C6 /2","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed dword indices, prefetch sparse byte memory locations containing double-precision data using opmask k1 and T1 hint."
"VGATHERPF1DPS vm32z/f32x16 {k1}","EVEX.512.66.0F38.W0 C6 /2","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed dword indices, prefetch sparse byte memory locations containing single-precision data using opmask k1 and T1 hint."
"VGATHERPF1QPD vm64z/f64x8 {k1}","EVEX.512.66.0F38.W1 C7 /2","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed qword indices, prefetch sparse byte memory locations containing double-precision data using opmask k1 and T1 hint."
"VGATHERPF1QPS vm64z/f32x8 {k1}","EVEX.512.66.0F38.W0 C7 /2","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed qword indices, prefetch sparse byte memory locations containing single-precision data using opmask k1 and T1 hint."
"VSCATTERPF0DPD vm32y/f64x8 {k1}","EVEX.512.66.0F38.W1 C6 /5","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed dword indices, prefetch sparse byte memory locations containing double-precision data using writemask k1 and T0 hint with intent to write."
"VSCATTERPF0DPS vm32z/f32x16 {k1}","EVEX.512.66.0F38.W0 C6 /5","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed dword indices, prefetch sparse byte memory locations containing single-precision data using writemask k1 and T0 hint with intent to write."
"VSCATTERPF0QPD vm64z/f64x8 {k1}","EVEX.512.66.0F38.W1 C7 /5","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed qword indices, prefetch sparse byte memory locations containing double-precision data using writemask k1 and T0 hint with intent to write."
"VSCATTERPF0QPS vm64z/f32x8 {k1}","EVEX.512.66.0F38.W0 C7 /5","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed qword indices, prefetch sparse byte memory locations containing single-precision data using writemask k1 and T0 hint with intent to write."
"VSCATTERPF1DPD vm32y/f64x8 {k1}","EVEX.512.66.0F38.W1 C6 /6","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed dword indices, prefetch sparse byte memory locations containing double-precision data using writemask k1 and T1 hint with intent to write."
"VSCATTERPF1DPS vm32z/f32x16 {k1}","EVEX.512.66.0F38.W0 C6 /6","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed dword indices, prefetch sparse byte memory locations containing single-precision data using writemask k1 and T1 hint with intent to write."
"VSCATTERPF1QPD vm64z/f64x8 {k1}","EVEX.512.66.0F38.W1 C7 /6","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed qword indices, prefetch sparse byte memory locations containing double-precision data using writemask k1 and T1 hint with intent to write."
"VSCATTERPF1QPS vm64z/f32x8 {k1}","EVEX.512.66.0F38.W0 C7 /6","Valid","Valid","Invalid","AVX512PF","BaseReg (r): VSIB:base, VectorReg (r): VSIB:index","","","","Tuple1 Scalar","Using signed qword indices, prefetch sparse byte memory locations containing single-precision data using writemask k1 and T1 hint with intent to write."
