"Instruction","Opcode","Valid 64-bit","Valid 32-bit","Valid 16-bit","Feature Flags","Operand 1","Operand 2","Operand 3","Operand 4","Tuple Type","Description"
"AAA al","LEX.WN 37","Invalid","Valid","Valid","","RAX (r, w)","","","","","ASCII adjust AL after addition."
"AAD ax, ib","LEX.WN D5 ib","Invalid","Valid","Valid","","RAX (r, w)","ib","","","","Adjust AX before division to number base ib."
"AAM ax, ib","LEX.WN D4 ib","Invalid","Valid","Valid","","RAX (r, w)","ib","","","","Adjust AX after multiply to number base ib."
"AAS al","LEX.WN 3F","Invalid","Valid","Valid","","RAX (r, w)","","","","","ASCII adjust AL after subtraction."
"ADC r8/m8, r8","LEX.WB 10 /r lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","","","","Add with carry byte register to r8/m8."
"ADC rw/mw, rw","LEX.WX 11 /r lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","","","","Add with carry r to r/m."
"ADC r8, r8/m8","LEX.WB 12 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Add with carry r8/m8 to byte register."
"ADC rw, rw/mw","LEX.WX 13 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Add with carry r/m to r."
"ADC al, ib","LEX.WN 14 ib","Valid","Valid","Valid","","RAX (r, w)","ib","","","","Add with carry ib to AL."
"ADC aw, iw","LEX.WX 15 iw","Valid","Valid","Valid","","RAX (r, w)","iw","","","","Add with carry iw to EAX."
"ADC r8/m8, ib","LEX.WB 80 /2 ib lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ib","","","","Add with carry ib to r8/m8."
"ADC rw/mw, iw","LEX.WX 81 /2 iw lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","iw","","","","Add with CF iw to r/m."
"ADC rw/mw, ib","LEX.WX 83 /2 ib lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ib","","","","Add with CF sign-extended ib into r/m."
"ADD r8/m8, r8","LEX.WB 00 /r lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","","","","Add r8 to r8/m8."
"ADD rw/mw, rw","LEX.WX 01 /r lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","","","","Add r to r/m."
"ADD r8, r8/m8","LEX.WB 02 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Add r8/m8 to r8."
"ADD rw, rw/mw","LEX.WX 03 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Add r/m to r."
"ADD al, ib","LEX.WN 04 ib","Valid","Valid","Valid","","RAX (r, w)","ib","","","","Add ib to AL."
"ADD aw, iw","LEX.WX 05 iw","Valid","Valid","Valid","","RAX (r, w)","iw","","","","Add sign-extended iw to AX/EAX/RAX."
"ADD r8/m8, ib","LEX.WB 80 /0 ib lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ib","","","","Add ib to r8/m8."
"ADD rw/mw, iw","LEX.WX 81 /0 iw lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","iw","","","","Add sign-extended iw to r/m."
"ADD rw/mw, ib","LEX.WX 83 /0 ib lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ib","","","","Add sign-extended ib to r/m."
"AND r8/m8, r8","LEX.WB 20 /r lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","","","","r8/m8 AND r8."
"AND rw/mw, rw","LEX.WX 21 /r lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","","","","r/m AND r16."
"AND r8, r8/m8","LEX.WB 22 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","r8 AND r8/m8."
"AND rw, rw/mw","LEX.WX 23 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","r AND r/m."
"AND al, ib","LEX.WN 24 ib","Valid","Valid","Valid","","RAX (r, w)","ib","","","","AL AND ib."
"AND aw, iw","LEX.WX 25 iw","Valid","Valid","Valid","","RAX (r, w)","iw","","","","AX/EAX/RAX AND sign-extend iw."
"AND r8/m8, ib","LEX.WB 80 /4 ib lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ib","","","","r8/m8 AND ib."
"AND rw/mw, iw","LEX.WX 81 /4 iw lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","iw","","","","r/m AND sign-extend iw."
"AND rw/mw, ib","LEX.WX 83 /4 ib lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ib","","","","r/m AND sign-extend ib."
"ARPL r16/m16, r16","LEX.wn 63 /r","Invalid","Valid","Valid","","ModRM:r/m (w)","ModRM:reg (r)","","","","Adjust RPL of r/m16 to not less than RPL of r16."
"BOUND r16, mem","LEX.WX 62 /r o16","Invalid","Valid","Valid","","ModRM:reg (r)","ModRM:r/m (r, ModRM:[7:6] must not be 11b)","","","","Check if r (array index) is within bounds specified by m32&32."
"BOUND r32, mem","LEX.WX 62 /r o32","Invalid","Valid","Valid","","ModRM:reg (r)","ModRM:r/m (r, ModRM:[7:6] must not be 11b)","","","","Check if r (array index) is within bounds specified by m32&32."
"BSF rw, rw/mw","LEX.0F.WX BC /r","Valid","Valid","Valid","","ModRM:reg (w)","ModRM:r/m (r)","","","","Bit scan forward on rw/mw."
"BSR rw, rw/mw","LEX.0F.WX BD /r","Valid","Valid","Valid","","ModRM:reg (w)","ModRM:r/m (r)","","","","Bit scan reverse on rw/mw."
"BSWAP r32","LEX.0F.W0 C8+r","Valid","Valid","Valid","","opcode +r (r, w)","","","","","Reverses the byte order of a 32-bit register."
"BSWAP r64","LEX.0F.W1 C8+r","Valid","Invalid","Invalid","","opcode +r (r, w)","","","","","Reverses the byte order of a 64-bit register."
"BT rw/mw, rw","LEX.0F.WX A3 /r","Valid","Valid","Valid","","ModRM:r/m (r)","ModRM:reg (r)","","","","Store selected bit in CF flag."
"BT rw/mw, ib","LEX.0F.WX BA /4 ib","Valid","Valid","Valid","","ModRM:r/m (r)","ib","","","","Store selected bit in CF flag."
"BTC rw/mw, ib","LEX.0F.WX BA /7 ib lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ib","","","","Store selected bit in CF flag and complement."
"BTC rw/mw, rw","LEX.0F.WX BB /r lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","","","","Store selected bit in CF flag and complement."
"BTR rw/mw, rw","LEX.0F.WX B3 /r lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","","","","Store selected bit in CF flag and clear."
"BTR rw/mw, ib","LEX.0F.WX BA /6 ib lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ib","","","","Store selected bit in CF flag and clear."
"BTS rw/mw, rw","LEX.0F.WX AB /r lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ModRM:reg (r)","","","","Store selected bit in CF flag and set."
"BTS rw/mw, ib","LEX.0F.WX BA /5 ib lock","Valid","Valid","Valid","","ModRM:r/m (r, w)","ib","","","","Store selected bit in CF flag and set."
"CALL relw","LEX.WX E8 iwd","Valid","Valid","Valid","","iwd","RSP (r, w, i)","","","","Call near, relative, displacement relative to next instruction. 32-bit displacement sign extended to 64-bits in 64-bit mode."
"CALL rw/mw","LEX.WW FF /2","Valid","Valid","Valid","","ModRM:r/m (r)","RSP (r, w, i)","","","","Call near, absolute indirect, address given in rw/mw."
"LCALL far16:16","LEX.WW 9A iwd i16 o16","Invalid","Valid","Valid","","imm","ime","RSP (r, w, i)","","","Call far, absolute, address given in operand."
"LCALL far16:32","LEX.WW 9A iwd i16 o32","Invalid","Valid","Valid","","imm","ime","RSP (r, w, i)","","","Call far, absolute, address given in operand."
"LCALL memfar16:16","LEX.WW FF /3 o16","Valid","Valid","Valid","","ModRM:r/m (r)","RSP (r, w, i)","","","","Call far, absolute indirect address given in m16:16. In 32-bit mode: if selector points to a gate, then RIP = 32-bit zero extended displacement taken from gate; else RIP = zero extended 16-bit offset from far pointer referenced in the instruction."
"LCALL memfar16:32","LEX.WW FF /3 o32","Invalid","Valid","Valid","","ModRM:r/m (r)","RSP (r, w, i)","","","","In 64-bit mode: If selector points to a gate, then RIP = 64-bit displacement taken from gate; else RIP = zero extended 32-bit offset from far pointer referenced in the instruction."
"LCALL memfar16:64","LEX.WW FF /3 o64","Valid","Invalid","Invalid","","ModRM:r/m (r)","RSP (r, w, i)","","","","In 64-bit mode: If selector points to a gate, then RIP = 64-bit displacement taken from gate; else RIP = 64-bit offset from far pointer referenced in the instruction."
"CBW","LEX.WX 98 o16","Valid","Valid","Valid","","RAX (r, w)","","","","","AX := sign-extend of AL."
"CDQ","LEX.WX 99 o32","Valid","Valid","Valid","","RDX (w)","RAX (r, w)","","","","EDX:EAX := sign-extend of EAX."
"CDQE","LEX.WX 98 o64","Valid","Invalid","Invalid","","RAX (r, w)","","","","","RAX := sign-extend of EAX."
"CLC","LEX.WN F8","Valid","Valid","Valid","","","","","","","Clear CF flag."
"CLD","LEX.WN FC","Valid","Valid","Valid","","","","","","","Clear DF flag."
"CLFLUSH m8","LEX.0F.W0 AE /7","Valid","Valid","Valid","","ModRM:r/m (r)","","","","","Flushes cache line containing m8."
"CLFLUSHOPT m8","LEX.66.0F.W0 AE /7","Valid","Valid","Valid","","ModRM:r/m (r)","","","","","Flushes cache line containing m8."
"CLI","LEX.WN FA","Valid","Valid","Valid","","","","","","","Clear interrupt flag; interrupts disabled when interrupt flag cleared."
"CLTS","LEX.0F.W0 06","Valid","Valid","Valid","","","","","","","Clears TS flag in CR0."
"CMC","LEX.WN F5","Valid","Valid","Valid","","","","","","","Complement CF flag."
"CMOVA rw, rw/mw","LEX.0F.WX 47 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Move if above (CF=0 and ZF=0)."
"CMOVAE rw, rw/mw","LEX.0F.WX 43 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Move if above or equal (CF=0)."
"CMOVB rw, rw/mw","LEX.0F.WX 42 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Move if below (CF=1)."
"CMOVBE rw, rw/mw","LEX.0F.WX 46 /r","Valid","Valid","Valid","","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Move if below or equal (CF=1 or ZF=1)."
