"Instruction","Opcode","Valid 64-bit","Valid 32-bit","Valid 16-bit","Feature Flags","Operand 1","Operand 2","Operand 3","Operand 4","Tuple Type","Description"
"CLRSSBSY mw","LEX.F3.0F.W0 ae /6","Valid","Valid","Invalid","CET","ModRM:r/m (r, w)","","","","","Clear busy flag in supervisor shadow stack token reference by m64."
"ENDBR32","LEX.F3.0F.W0 1e fb","Valid","Valid","Invalid","CET","","","","","","Terminate indirect branch in 32-bit and compatibility mode."
"ENDBR64","LEX.F3.0F.W0 1e fa","Valid","Valid","Invalid","CET","","","","","","Terminate indirect branch in 64-bit mode."
"INCSSPD rw","LEX.F3.0F.W0 ae /5","Valid","Valid","Invalid","CET","ModRM:r/m (r)","","","","","Increment SSP by 4 * r32[7:0]."
"INCSSPQ rw","LEX.F3.0F.W1 ae /5","Valid","Valid","Invalid","CET","ModRM:r/m (r)","","","","","Increment SSP by 8 * r64[7:0]."
"RDSSPD rw","LEX.F3.0F.W0 1e /1","Valid","Valid","Invalid","CET","ModRM:r/m (r)","","","","","Copy low 32 bits of shadow stack pointer (SSP) to r32."
"RDSSPQ rw","LEX.F3.0F.W1 1e /1","Valid","Valid","Invalid","CET","ModRM:r/m (r)","","","","","Copies shadow stack pointer (SSP) to r64."
"RSTORSSP mw","LEX.F3.0F.W0 01 /5","Valid","Valid","Invalid","CET","ModRM:r/m (r, w)","","","","","Restore SSP."
"SAVEPREVSSP","LEX.F3.0F.W0 01 ea","Valid","Valid","Invalid","CET","ModRM:r/m (r)","","","","","Save a restore-shadow-stack token on previous shadow stack."
"SETSSBSY","LEX.F3.0F.W0 01 e8","Valid","Valid","Invalid","CET","","","","","","Set busy flag in supervisor shadow stack token reference by IA32_PL0_SSP."
"WRSSD mw,rw","LEX.0F38.W0 f6 /r","Valid","Valid","Invalid","CET","ModRM:r/m (w)","ModRM:reg (r)","","","","Write 4 bytes to shadow stack."
"WRSSQ mw,rw","LEX.0F38.W1 f6 /r","Valid","Valid","Invalid","CET","ModRM:r/m (w)","ModRM:reg (r)","","","","Write 8 bytes to shadow stack."
"WRUSSD mw,rw","LEX.66.0F38.W0 f5 /r","Valid","Valid","Invalid","CET","ModRM:r/m (w)","ModRM:reg (r)","","","","Write 4 bytes to shadow stack."
"WRUSSQ mw,rw","LEX.66.0F38.W1 f5 /r","Valid","Valid","Invalid","CET","ModRM:r/m (w)","ModRM:reg (r)","","","","Write 8 bytes to shadow stack."
