"Instruction","Opcode","Valid 64-bit","Valid 32-bit","Valid 16-bit","Feature Flags","Operand 1","Operand 2","Operand 3","Operand 4","Tuple Type","Description"
"ADDSUBPD xmm1, xmm2/m128","LEX.66.0F.W0 D0 /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Add/subtract double-precision floating-point values from xmm2/m128 to xmm1."
"ADDSUBPS xmm1, xmm2/m128","LEX.F2.0F.W0 D0 /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Add/subtract single-precision floating-point values from xmm2/m128 to xmm1."
"HADDPD xmm1, xmm2/m128","LEX.66.0F.W0 7C /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Horizontal add packed double-precision floating-point values from xmm2/m128 to xmm1."
"HADDPS xmm1, xmm2/m128","LEX.F2.0F.W0 7C /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Horizontal add packed single-precision floating-point values from xmm2/m128 to xmm1."
"HSUBPD xmm1, xmm2/m128","LEX.66.0F.W0 7D /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Horizontal subtract packed double-precision floating-point values from xmm2/m128 to xmm1."
"HSUBPS xmm1, xmm2/m128","LEX.F2.0F.W0 7D /r","Valid","Valid","Invalid","SSE3","ModRM:reg (r, w)","ModRM:r/m (r)","","","","Horizontal subtract packed single-precision floating-point values from xmm2/m128 to xmm1."
"LDDQU xmm1, m128","LEX.F2.0F.W0 F0 /r","Valid","Valid","Invalid","SSE3","ModRM:reg (w)","ModRM:r/m (r)","","","","Load unaligned data from mem and return double quadword in xmm1."
"MOVDDUP xmm1, xmm2/m64","LEX.F2.0F.W0 12 /r","Valid","Valid","Invalid","SSE3","ModRM:reg (w)","ModRM:r/m (r)","","","","Move double-precision floating-point value from xmm2/m64 and duplicate into xmm1."
"MOVSHDUP xmm1, xmm2/m128","LEX.F3.0F.W0 16 /r","Valid","Valid","Invalid","SSE3","ModRM:reg (w)","ModRM:r/m (r)","","","","Move odd index single-precision floating-point values from xmm2/mem and duplicate each element into xmm1."
"MOVSLDUP xmm1, xmm2/m128","LEX.F3.0F.W0 12 /r","Valid","Valid","Invalid","SSE3","ModRM:reg (w)","ModRM:r/m (r)","","","","Move even index single-precision floating-point values from xmm2/mem and duplicate each element into xmm1."
