"Instruction","Opcode","Valid 64-bit","Valid 32-bit","Valid 16-bit","Feature Flags","Operand 1","Operand 2","Operand 3","Operand 4","Tuple Type","Description"
"INVEPT r64,m128","LEX.66.0F38.W0 80 /r","Valid","Valid","Invalid","VMX","ModRM:reg (r)","ModRM:r/m (r)","","","","Invalidates EPT-derived entries in the TLBs and paging-structure caches"
"INVVPID r64,m128","LEX.66.0F38.W0 81 /r","Valid","Valid","Invalid","VMX","ModRM:reg (r)","ModRM:r/m (r)","","","","Invalidates entries in the TLBs and paging-structure caches based on VPID"
"VMCALL","LEX.0F.W0 01 c1","Valid","Valid","Invalid","VMX","","","","","","Call to VM monitor by causing VM exit."
"VMCLEAR m64","LEX.66.0F.W0 c7 /6","Valid","Valid","Invalid","VMX","ModRM:r/m (r)","","","","","Clear Virtual-Machine Control Structure"
"VMFUNC","LEX.0F.W0 01 d4","Valid","Valid","Invalid","VMX","RAX (r)","","","","","Invoke VM function specified in EAX."
"VMLAUNCH","LEX.0F.W0 01 c2","Valid","Valid","Invalid","VMX","","","","","","Launch Virtual Machine"
"VMPTRLD m64","LEX.0F.W0 c7 /6","Valid","Valid","Invalid","VMX","ModRM:r/m (r)","","","","","Load Pointer to Virtual-Machine Control Structure"
"VMPTRST m64","LEX.0F.W0 c7 /7","Valid","Valid","Invalid","VMX","ModRM:r/m (w)","","","","","Store Pointer to Virtual-Machine Control Structure"
"VMREAD r64/m64,r64","LEX.0F.W0 78 /r","Valid","Valid","Invalid","VMX","ModRM:r/m (w)","ModRM:reg (r)","","","","Read Field from Virtual-Machine Control Structure"
"VMRESUME","LEX.0F.W0 01 c3","Valid","Valid","Invalid","VMX","","","","","","Resume Virtual Machine"
"VMWRITE r64,r64/m64","LEX.0F.W0 79 /r","Valid","Valid","Invalid","VMX","ModRM:reg (r)","ModRM:r/m (r)","","","","Write Field to Virtual-Machine Control Structure"
"VMXOFF","LEX.0F.W0 01 c4","Valid","Valid","Invalid","VMX","","","","","","Leave VMX Operation"
"VMXON m64","LEX.F3.0F.W0 c7 /6","Valid","Valid","Invalid","VMX","ModRM:r/m (r)","","","","","Enter VMX Operation"
