Model,baseline,v2,v3,v4
486,,,,
486-v1,,,,
Broadwell,✅,✅,✅,
Broadwell-IBRS,✅,✅,✅,
Broadwell-noTSX,✅,✅,✅,
Broadwell-noTSX-IBRS,✅,✅,✅,
Broadwell-v1,✅,✅,✅,
Broadwell-v2,✅,✅,✅,
Broadwell-v3,✅,✅,✅,
Broadwell-v4,✅,✅,✅,
Cascadelake-Server,✅,✅,✅,✅
Cascadelake-Server-noTSX,✅,✅,✅,✅
Cascadelake-Server-v1,✅,✅,✅,✅
Cascadelake-Server-v2,✅,✅,✅,✅
Cascadelake-Server-v3,✅,✅,✅,✅
Cascadelake-Server-v4,✅,✅,✅,✅
Conroe,✅,,,
Conroe-v1,✅,,,
Cooperlake,✅,✅,✅,✅
Cooperlake-v1,✅,✅,✅,✅
Denverton,✅,✅,,
Denverton-v1,✅,✅,,
Denverton-v2,✅,✅,,
Dhyana,✅,✅,✅,
Dhyana-v1,✅,✅,✅,
EPYC,✅,✅,✅,
EPYC-IBPB,✅,✅,✅,
EPYC-Rome,✅,✅,✅,
EPYC-Rome-v1,✅,✅,✅,
EPYC-v1,✅,✅,✅,
EPYC-v2,✅,✅,✅,
EPYC-v3,✅,✅,✅,
Haswell,✅,✅,✅,
Haswell-IBRS,✅,✅,✅,
Haswell-noTSX,✅,✅,✅,
Haswell-noTSX-IBRS,✅,✅,✅,
Haswell-v1,✅,✅,✅,
Haswell-v2,✅,✅,✅,
Haswell-v3,✅,✅,✅,
Haswell-v4,✅,✅,✅,
Icelake-Client,✅,✅,✅,
Icelake-Client-noTSX,✅,✅,✅,
Icelake-Client-v1,✅,✅,✅,
Icelake-Client-v2,✅,✅,✅,
Icelake-Server,✅,✅,✅,✅
Icelake-Server-noTSX,✅,✅,✅,✅
Icelake-Server-v1,✅,✅,✅,✅
Icelake-Server-v2,✅,✅,✅,✅
Icelake-Server-v3,✅,✅,✅,✅
Icelake-Server-v4,✅,✅,✅,✅
IvyBridge,✅,✅,,
IvyBridge-IBRS,✅,✅,,
IvyBridge-v1,✅,✅,,
IvyBridge-v2,✅,✅,,
KnightsMill,✅,✅,✅,
KnightsMill-v1,✅,✅,✅,
Nehalem,✅,✅,,
Nehalem-IBRS,✅,✅,,
Nehalem-v1,✅,✅,,
Nehalem-v2,✅,✅,,
Opteron_G1,✅,,,
Opteron_G1-v1,✅,,,
Opteron_G2,✅,,,
Opteron_G2-v1,✅,,,
Opteron_G3,✅,,,
Opteron_G3-v1,✅,,,
Opteron_G4,✅,✅,,
Opteron_G4-v1,✅,✅,,
Opteron_G5,✅,✅,,
Opteron_G5-v1,✅,✅,,
Penryn,✅,,,
Penryn-v1,✅,,,
SandyBridge,✅,✅,,
SandyBridge-IBRS,✅,✅,,
SandyBridge-v1,✅,✅,,
SandyBridge-v2,✅,✅,,
Skylake-Client,✅,✅,✅,
Skylake-Client-IBRS,✅,✅,✅,
Skylake-Client-noTSX-IBRS,✅,✅,✅,
Skylake-Client-v1,✅,✅,✅,
Skylake-Client-v2,✅,✅,✅,
Skylake-Client-v3,✅,✅,✅,
Skylake-Server,✅,✅,✅,✅
Skylake-Server-IBRS,✅,✅,✅,✅
Skylake-Server-noTSX-IBRS,✅,✅,✅,✅
Skylake-Server-v1,✅,✅,✅,✅
Skylake-Server-v2,✅,✅,✅,✅
Skylake-Server-v3,✅,✅,✅,✅
Skylake-Server-v4,✅,✅,✅,✅
Snowridge,✅,✅,,
Snowridge-v1,✅,✅,,
Snowridge-v2,✅,✅,,
Westmere,✅,✅,,
Westmere-IBRS,✅,✅,,
Westmere-v1,✅,✅,,
Westmere-v2,✅,✅,,
athlon,,,,
athlon-v1,,,,
core2duo,✅,,,
core2duo-v1,✅,,,
coreduo,,,,
coreduo-v1,,,,
kvm32,,,,
kvm32-v1,,,,
kvm64,✅,,,
kvm64-v1,✅,,,
n270,,,,
n270-v1,,,,
pentium,,,,
pentium-v1,,,,
pentium2,,,,
pentium2-v1,,,,
pentium3,,,,
pentium3-v1,,,,
phenom,✅,,,
phenom-v1,✅,,,
qemu32,,,,
qemu32-v1,,,,
qemu64,✅,,,
qemu64-v1,✅,,,
x86-64-abi1,✅,,,
x86-64-abi1-v1,✅,,,
x86-64-abi2,✅,✅,,
x86-64-abi2-v1,✅,✅,,
x86-64-abi3,✅,✅,✅,
x86-64-abi3-v1,✅,✅,✅,
x86-64-abi4,✅,✅,✅,✅
x86-64-abi4-v1,✅,✅,✅,✅
